OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
1,2020/03/29 14:00:00+00,4,21,165,203,241,243,191,117,54,
2,2020/03/30 14:00:00+00,5,27,188,247,262,274,219,139,53,
3,2020/03/31 14:00:00+00,6,32,215,290,304,335,260,157,61,
4,2020/04/01 14:00:00+00,6,39,252,345,372,396,309,187,79,
5,2020/04/02 14:00:00+00,9,46,286,410,437,471,357,217,98,
6,2020/04/03 14:00:00+00,9,55,335,485,509,552,423,266,124,
7,2020/04/04 14:00:00+00,13,65,379,557,575,625,473,299,139,
8,2020/04/05 14:00:00+00,16,69,422,638,666,736,546,354,162,
9,2020/04/06 14:00:00+00,16,76,469,718,737,825,597,407,200,
10,2020/04/07 14:00:00+00,21,82,505,773,795,891,643,445,216,
11,2020/04/08 14:00:00+00,27,109,625,968,1015,1135,833,550,267,
12,2020/04/09 14:00:00+00,33,127,701,1076,1145,1282,913,600,308,
13,2020/04/10 14:00:00+00,36,146,772,1205,1281,1421,1051,685,371,
14,2020/04/11 14:00:00+00,45,162,855,1317,1413,1565,1141,757,439,
15,2020/04/12 14:00:00+00,52,172,906,1390,1504,1675,1212,816,498,
16,2020/04/13 14:00:00+00,63,190,970,1511,1637,1801,1317,877,570,
17,2020/04/14 14:00:00+00,70,199,1030,1603,1740,1902,1389,935,604,0
18,2020/04/15 14:00:00+00,74,204,1089,1670,1808,2005,1474,1010,698,0
19,2020/04/16 14:00:00+00,86,231,1162,1784,1951,2138,1602,1065,765,0
20,2020/04/17 14:00:00+00,86,242,1227,1882,2088,2287,1710,1171,879,0
21,2020/04/18 14:00:00+00,89,254,1311,2010,2215,2399,1831,1253,946,0
22,2020/04/19 14:00:00+00,93,277,1391,2100,2312,2492,1898,1286,981,0
23,2020/04/20 14:00:00+00,108,300,1488,2245,2442,2632,2015,1385,1069,0
24,2020/04/21 14:00:00+00,118,318,1543,2329,2539,2712,2083,1432,1119,0
25,2020/04/22 14:00:00+00,132,337,1595,2415,2611,2805,2156,1512,1212,0
26,2020/04/23 14:00:00+00,152,369,1708,2604,2786,2960,2269,1593,1296,0
27,2020/04/24 14:00:00+00,164,395,1833,2757,2931,3094,2383,1680,1379,0
28,2020/04/25 14:00:00+00,189,441,1982,2963,3155,3288,2548,1766,1434,0
29,2020/04/26 14:00:00+00,212,463,2097,3109,3270,3414,2651,1837,1528,0
30,2020/04/27 14:00:00+00,228,490,2217,3264,3436,3556,2758,1916,1622,0
31,2020/04/28 14:00:00+00,246,512,2293,3367,3555,3675,2835,1973,1657,0
32,2020/04/29 14:00:00+00,256,539,2393,3511,3696,3792,2927,2035,1700,0
33,2020/04/30 14:00:00+00,294,573,2525,3684,3871,3939,3010,2083,1763,0
34,2020/05/01 14:00:00+00,330,652,2742,4025,4226,4242,3215,2181,1859,0
35,2020/05/02 14:00:00+00,348,701,2868,4207,4377,4400,3350,2270,1952,0
36,2020/05/03 14:00:00+00,369,743,3043,4388,4534,4532,3459,2338,2056,0
37,2020/05/04 14:00:00+00,385,769,3184,4550,4696,4687,3569,2424,2144,0
38,2020/05/05 14:00:00+00,398,791,3287,4687,4841,4820,3636,2465,2192,0
39,2020/05/06 14:00:00+00,416,834,3474,4894,5031,4996,3734,2524,2260,0
40,2020/05/07 14:00:00+00,435,898,3681,5161,5269,5161,3860,2592,2317,0
41,2020/05/08 14:00:00+00,486,969,3848,5376,5468,5311,3972,2666,2389,0
42,2020/05/09 14:00:00+00,516,1015,3993,5575,5675,5464,4077,2738,2481,0
43,2020/05/10 14:00:00+00,546,1078,4160,5777,5840,5609,4189,2801,2587,0
44,2020/05/11 14:00:00+00,570,1131,4299,5952,5989,5707,4255,2840,2630,0
45,2020/05/12 14:00:00+00,608,1183,4399,6084,6119,5791,4318,2884,2675,0
46,2020/05/13 14:00:00+00,635,1238,4517,6236,6282,5898,4394,2912,2700,0
47,2020/05/14 14:00:00+00,671,1299,4685,6475,6440,6033,4487,3004,2809,0
48,2020/05/15 14:00:00+00,716,1383,4849,6699,6635,6194,4577,3076,2857,0
49,2020/05/16 14:00:00+00,743,1437,5000,6880,6818,6354,4665,3142,2929,0
50,2020/05/17 14:00:00+00,778,1480,5143,7072,6958,6484,4744,3189,2956,0
51,2020/05/18 14:00:00+00,811,1549,5279,7266,7135,6605,4834,3244,3039,0
52,2020/05/19 14:00:00+00,837,1602,5520,7617,7495,6964,5050,3351,3110,0
53,2020/05/20 14:00:00+00,887,1660,5623,7777,7640,7066,5134,3388,3148,0
54,2020/05/21 14:00:00+00,928,1736,5826,8031,7868,7267,5244,3439,3192,0
55,2020/05/22 14:00:00+00,956,1785,5967,8189,8052,7392,5336,3498,3249,0
56,2020/05/23 14:00:00+00,989,1852,6146,8425,8264,7556,5428,3541,3294,0
57,2020/05/24 14:00:00+00,1018,1899,6270,8587,8411,7667,5511,3596,3354,0
58,2020/05/25 14:00:00+00,1052,1951,6405,8728,8546,7790,5623,3644,3413,0
59,2020/05/26 14:00:00+00,1068,1979,6480,8807,8644,7888,5678,3681,3462,0
60,2020/05/27 14:00:00+00,1119,2025,6597,8940,8754,7994,5751,3724,3519,0
61,2020/05/28 14:00:00+00,1182,2119,6815,9214,8989,8176,5867,3780,3567,0
62,2020/05/29 14:00:00+00,1224,2191,7033,9460,9212,8354,5996,3877,3641,0
63,2020/05/30 14:00:00+00,1253,2264,7187,9671,9403,8484,6116,3932,3705,0
64,2020/05/31 14:00:00+00,1274,2319,7312,9815,9505,8596,6203,3986,3768,0
65,2020/06/01 14:00:00+00,1294,2351,7397,9938,9598,8671,6261,4014,3803,0
66,2020/06/02 14:00:00+00,1343,2403,7499,10085,9734,8793,6357,4080,3881,0
67,2020/06/03 14:00:00+00,1393,2473,7621,10225,9868,8879,6461,4134,3928,0
68,2020/06/04 14:00:00+00,1422,2538,7768,10375,10033,9006,6536,4190,3990,0
69,2020/06/05 14:00:00+00,1457,2604,7938,10569,10191,9142,6626,4234,4009,0
70,2020/06/06 14:00:00+00,1487,2648,8065,10702,10326,9239,6705,4272,4038,0
71,2020/06/07 14:00:00+00,1506,2689,8144,10803,10415,9298,6751,4304,4063,0
72,2020/06/08 14:00:00+00,1521,2723,8216,10901,10500,9365,6782,4323,4073,0
73,2020/06/09 14:00:00+00,1541,2750,8319,10979,10596,9438,6832,4360,4089,0
74,2020/06/10 14:00:00+00,1573,2791,8408,11089,10698,9522,6879,4389,4116,0
75,2020/06/11 14:00:00+00,1608,2839,8531,11238,10838,9611,6941,4429,4162,0
76,2020/06/12 14:00:00+00,1626,2879,8604,11321,10903,9670,6973,4450,4187,0
77,2020/06/13 14:00:00+00,1720,2958,8710,11417,10998,9746,7036,4485,4235,0
78,2020/06/14 14:00:00+00,1739,2993,8785,11502,11052,9797,7075,4510,4248,0
79,2020/06/15 14:00:00+00,1759,3018,8856,11577,11111,9841,7094,4521,4255,0
80,2020/06/16 14:00:00+00,1773,3036,8930,11655,11183,9894,7125,4546,4267,0
81,2020/06/17 14:00:00+00,1792,3068,9025,11737,11277,9975,7196,4590,4309,0
82,2020/06/18 14:00:00+00,1819,3102,9078,11788,11321,9998,7210,4600,4313,0
83,2020/06/19 14:00:00+00,1831,3123,9121,11838,11368,10058,7238,4627,4344,0
84,2020/06/20 14:00:00+00,1852,3163,9206,11919,11441,10123,7256,4639,4357,0
85,2020/06/21 14:00:00+00,1880,3190,9273,11984,11493,10176,7284,4655,4371,0
86,2020/06/22 14:00:00+00,1893,3216,9350,12029,11535,10224,7307,4667,4382,0
87,2020/06/23 14:00:00+00,1907,3248,9459,12128,11591,10265,7338,4678,4393,0
88,2020/06/24 14:00:00+00,1924,3268,9524,12204,11635,10317,7370,4696,4399,0
89,2020/06/25 14:00:00+00,1937,3307,9616,12290,11708,10376,7408,4717,4418,0
90,2020/06/26 14:00:00+00,1946,3334,9685,12360,11761,10424,7447,4726,4432,0
91,2020/06/27 14:00:00+00,1955,3368,9749,12431,11815,10479,7479,4736,4438,0
92,2020/06/28 14:00:00+00,1978,3408,9825,12484,11866,10521,7504,4748,4443,0
93,2020/06/29 14:00:00+00,2006,3461,9917,12569,11948,10587,7550,4764,4452,0
94,2020/06/30 14:00:00+00,2019,3481,9987,12625,11997,10634,7577,4777,4462,0
95,2020/07/01 14:00:00+00,2042,3508,10056,12692,12054,10683,7619,4791,4473,0
96,2020/07/02 14:00:00+00,2075,3558,10176,12811,12121,10731,7646,4819,4486,0
97,2020/07/03 14:00:00+00,2098,3605,10264,12890,12183,10810,7708,4882,4521,0
98,2020/07/04 14:00:00+00,2113,3637,10349,12969,12240,10864,7745,4893,4531,0
99,2020/07/05 14:00:00+00,2129,3672,10422,13017,12288,10890,7765,4903,4546,0
100,2020/07/06 14:00:00+00,2141,3700,10487,13069,12332,10926,7786,4913,4550,0
101,2020/07/07 14:00:00+00,2155,3737,10578,13161,12406,10982,7837,4952,4588,0
102,2020/07/08 14:00:00+00,2179,3786,10700,13255,12485,11031,7862,4967,4596,0
103,2020/07/09 14:00:00+00,2192,3827,10854,13355,12566,11136,7920,4980,4617,0
104,2020/07/10 14:00:00+00,2224,3879,10995,13441,12621,11177,7948,5005,4620,0
105,2020/07/11 14:00:00+00,2243,3922,11145,13557,12688,11246,7993,5039,4634,0
106,2020/07/12 14:00:00+00,2277,3975,11302,13695,12784,11323,8036,5066,4651,0
107,2020/07/13 14:00:00+00,2297,4019,11422,13765,12840,11380,8065,5081,4658,0
108,2020/07/14 14:00:00+00,2327,4084,11590,13905,12952,11467,8130,5119,4686,0
109,2020/07/15 14:00:00+00,2355,4146,11783,14028,13067,11571,8200,5156,4710,0
110,2020/07/16 14:00:00+00,2387,4207,11972,14183,13142,11639,8243,5173,4718,0
111,2020/07/17 14:00:00+00,2427,4267,12178,14309,13248,11727,8286,5192,4737,0
112,2020/07/18 14:00:00+00,2462,4352,12388,14466,13369,11832,8349,5226,4762,0
113,2020/07/19 14:00:00+00,2496,4430,12646,14662,13500,11937,8416,5255,4789,0
114,2020/07/20 14:00:00+00,2519,4486,12766,14768,13593,12023,8452,5277,4801,0
115,2020/07/21 14:00:00+00,2552,4563,12983,14969,13711,12144,8507,5302,4814,0
116,2020/07/22 14:00:00+00,2572,4613,13113,15065,13796,12210,8556,5363,4884,0
117,2020/07/23 14:00:00+00,2592,4669,13325,15191,13881,12287,8615,5387,4889,0
118,2020/07/24 14:00:00+00,2641,4750,13574,15387,14013,12395,8678,5419,4909,0
119,2020/07/25 14:00:00+00,2695,4863,13914,15630,14193,12560,8775,5468,4956,0
120,2020/07/26 14:00:00+00,2728,4927,14079,15779,14294,12644,8825,5496,4976,0
121,2020/07/27 14:00:00+00,2777,5034,14378,16006,14449,12795,8926,5523,4988,0
122,2020/07/28 14:00:00+00,2812,5112,14517,16122,14537,12879,8988,5552,5005,0
123,2020/07/29 14:00:00+00,2839,5187,14706,16258,14646,12988,9048,5586,5027,0
124,2020/07/30 14:00:00+00,2881,5299,14934,16432,14763,13068,9114,5640,5046,0
125,2020/07/31 14:00:00+00,2943,5434,15184,16662,14935,13243,9187,5700,5058,0
126,2020/08/01 14:00:00+00,2992,5536,15427,16837,15095,13371,9281,5748,5078,0
127,2020/08/02 14:00:00+00,3034,5624,15631,17006,15232,13506,9350,5796,5095,0
128,2020/08/03 14:00:00+00,3083,5720,15832,17180,15336,13625,9415,5835,5118,0
129,2020/08/04 14:00:00+00,3109,5797,15990,17303,15442,13733,9465,5878,5137,0
130,2020/08/05 14:00:00+00,3128,5852,16114,17395,15526,13821,9521,5908,5161,0
131,2020/08/06 14:00:00+00,3147,5930,16244,17492,15620,13898,9565,5927,5182,0
